shipment_id,warehouse_id,store_id,carrier_id,dispatch_date,expected_arrival_date,actual_arrival_date,distance_km,shipment_cost,shipment_status
SH000081,W03,ST01,CR03,2024-09-10,"September 11, 2024","September 11, 2024",18.9,1488.37,On-time
SH000082,W03,ST01,CR02,"September 13, 2024","September 14, 2024","September 15, 2024",30.8,1627.25,Delayed
SH000083,W03,ST01,CR03,"September 17, 2024",18/09/2024,2024-09-18,10.2,946.59,On-time
SH000084,W03,ST01,CR02,2024-09-21,2024-09-22,"September 25, 2024",19.1,1157.57,Delayed
SH000085,W03,ST01,CR01,"September 24, 2024","September 25, 2024","September 25, 2024",12.3,682.51,On-time
SH000086,W03,ST01,CR04,27/09/2024,"September 28, 2024",2024-09-28,9.5,1206.0,On-time
SH000087,W01,ST01,CR03,01/10/2024,2024-10-03,"October 3, 2024",210.3,9258.03,On-time
SH000088,W03,ST01,CR02,"October 3, 2024",2024-10-04,04/10/2024,14.2,1168.78,On-time
SH000089,W02,ST01,CR04,07/10/2024,10/10/2024,"October 11, 2024",417.6,16742.21,Delayed
SH000090,W03,ST01,CR03,"October 10, 2024",2024-10-11,11/10/2024,33.5,,On-time
SH000091,W03,ST01,CR01,14/10/2024,"October 15, 2024","October 15, 2024",33.8,1684.95,On-time
SH000092,W03,ST01,CR04,17/10/2024,"October 18, 2024","October 18, 2024",11.2,1461.22,On-time
SH000093,W03,ST01,CR02,21/10/2024,"October 22, 2024",2024-10-22,19.9,1133.86,On-time
SH000094,W03,ST01,CR04,"October 25, 2024",26/10/2024,"October 26, 2024",32.5,1861.46,On-time
SH000095,W03,ST01,CR05,"October 28, 2024",29/10/2024,"October 29, 2024",15.1,1407.77,On-time
SH000096,W03,ST01,CR05,"October 30, 2024","October 31, 2024",31/10/2024,11.4,1433.77,On-time
SH000097,W03,ST01,CR05,02/11/2024,03/11/2024,03/11/2024,33.3,2123.5,On-time
SH000098,W03,ST01,CR05,"November 4, 2024",05/11/2024,2024-11-05,13.7,1004.68,On-time
SH000099,W02,ST01,CR04,06/11/2024,2024-11-09,"November 9, 2024",417.6,18695.1,On-time
SH000100,W03,ST01,CR02,2024-11-08,"November 9, 2024","November 9, 2024",9.0,710.0,On-time
SH000101,W03,ST01,CR01,"November 12, 2024","November 13, 2024",13/11/2024,7.3,1020.78,On-time
SH000102,W03,ST01,CR02,"November 14, 2024",2024-11-15,15/11/2024,12.1,1167.38,On-time
SH000103,W03,ST01,CR03,16/11/2024,"November 17, 2024","November 17, 2024",32.0,1941.45,On-time
SH000104,W03,ST01,CR01,2024-11-20,2024-11-21,2024-11-21,25.2,1790.27,On-time
SH000105,W03,ST01,CR01,2024-11-23,2024-11-24,24/11/2024,26.5,1441.17,On-time
SH000106,W03,ST01,CR04,27/11/2024,2024-11-28,"November 28, 2024",24.6,1715.45,On-time
SH000107,W03,ST01,CR02,"November 30, 2024",2024-12-01,"December 1, 2024",25.0,1849.18,On-time
SH000108,W03,ST01,CR02,04/12/2024,2024-12-05,2024-12-05,29.7,1807.62,On-time
SH000109,W03,ST01,CR05,2024-12-07,08/12/2024,"December 8, 2024",13.7,900.75,On-time
SH000110,W03,ST01,CR05,"December 10, 2024",11/12/2024,11/12/2024,20.0,1177.64,On-time
SH000111,W02,ST01,CR03,12/12/2024,"December 15, 2024","December 15, 2024",417.6,24256.24,On-time
SH000112,W03,ST01,CR03,16/12/2024,2024-12-17,20/12/2024,19.9,1683.56,Delayed
SH000113,W01,ST01,CR03,2024-12-18,"December 20, 2024","December 20, 2024",130.7,11031.54,On-time
SH000114,W03,ST01,CR02,22/12/2024,2024-12-23,23/12/2024,29.1,1620.56,On-time
SH000115,W03,ST01,CR05,"December 24, 2024",2024-12-25,2024-12-25,32.4,1811.82,On-time
SH000116,W03,ST01,CR05,"December 27, 2024","December 28, 2024",2024-12-28,12.2,1147.04,Lost
SH000117,W01,ST01,CR05,30/12/2024,"January 1, 2025",01/01/2025,130.7,10812.66,On-time
SH000118,W03,ST01,CR02,"January 1, 2025",2025-01-02,2025-01-02,9.0,,On-time
SH000119,W03,ST01,CR03,2025-01-05,2025-01-06,2025-01-06,9.3,883.62,On-time
SH000120,W03,ST99,CR04,"January 8, 2025",2025-01-09,09/01/2025,21.1,,On-time
SH000121,W03,ST01,CR01,"January 11, 2025",2025-01-12,12/01/2025,34.1,2289.72,On-time
SH000122,W03,ST01,CR05,13/01/2025,"January 14, 2025","January 14, 2025",12.2,1088.72,On-time
SH000123,W03,ST01,CR05,2025-01-16,17/01/2025,"January 17, 2025",21.4,1292.98,On-time
SH000124,W03,ST01,CR01,2025-01-19,"January 20, 2025",20/01/2025,21.8,1213.84,On-time
SH000125,W03,ST01,CR04,22/01/2025,"January 23, 2025","January 23, 2025",18.5,1140.17,On-time
SH000126,W03,ST01,CR02,"January 24, 2025",25/01/2025,"January 25, 2025",8.9,667.06,On-time
SH000127,W03,ST01,CR05,2025-01-27,2025-01-28,2025-01-28,15.2,1037.65,On-time
SH000128,W03,ST01,CR01,30/01/2025,"January 31, 2025",31/01/2025,29.7,1908.41,On-time
SH000129,W03,ST01,CR01,2025-02-02,2025-02-03,03/02/2025,20.1,2168.51,On-time
SH000130,W03,ST01,CR04,04/02/2025,2025-02-05,2025-02-05,10.2,1044.66,On-time
SH000131,W03,ST01,CR04,06/02/2025,"February 7, 2025",07/02/2025,15.3,1151.21,On-time
SH000132,W03,ST01,CR02,08/02/2025,2025-02-09,09/02/2025,33.9,1615.5,On-time
SH000133,W03,ST01,CR01,"February 12, 2025",2025-02-13,13/02/2025,16.5,1202.47,On-time
SH000134,W01,ST01,CR02,15/02/2025,17/02/2025,"February 19, 2025",210.3,9690.39,Delayed
SH000135,W03,ST01,CR05,"February 19, 2025",20/02/2025,"February 20, 2025",26.5,1872.67,On-time
SH000136,W01,ST01,CR02,"February 22, 2025","February 24, 2025",2025-02-27,210.3,9600.59,Delayed
SH000137,W03,ST01,CR05,2025-02-25,"February 26, 2025","February 26, 2025",33.3,1579.95,On-time
SH000138,W03,ST01,CR03,"March 1, 2025","March 2, 2025",2025-03-02,10.1,879.53,Lost
SH000139,W03,ST01,CR03,04/03/2025,2025-03-05,05/03/2025,13.9,1202.74,On-time
SH000140,W03,ST01,CR01,08/03/2025,2025-03-09,09/03/2025,30.1,1882.78,On-time
SH000141,W03,ST01,CR01,2025-03-10,"March 11, 2025",11/03/2025,24.5,1730.12,On-time
SH000142,W03,ST01,CR03,2025-03-13,"March 14, 2025",14/03/2025,33.0,2241.35,On-time
SH000143,W03,ST01,CR02,17/03/2025,18/03/2025,20/03/2025,33.2,2099.51,Delayed
SH000144,W03,ST01,CR02,21/03/2025,"March 22, 2025","March 23, 2025",17.4,1465.8,Delayed
SH000145,W03,ST01,CR01,"March 25, 2025",26/03/2025,2025-03-26,15.5,1572.5,Damaged
SH000146,W03,ST01,CR01,2025-03-28,"March 29, 2025",29/03/2025,10.4,754.19,On-time
SH000147,W03,ST01,CR01,01/04/2025,2025-04-02,02/04/2025,34.9,2120.51,On-time
SH000148,W03,ST01,CR01,"April 5, 2025",06/04/2025,06/04/2025,20.7,1517.76,On-time
SH000149,W02,ST01,CR02,"April 7, 2025",2025-04-10,2025-04-10,417.6,22974.99,On-time
SH000150,W03,ST01,CR04,11/04/2025,2025-04-12,"April 12, 2025",5.0,947.6,On-time
SH000151,W03,ST01,CR02,13/04/2025,2025-04-14,14/04/2025,9.0,648.03,On-time
SH000152,W03,ST01,CR02,"April 17, 2025","April 18, 2025",2025-04-18,13.6,1057.31,On-time
SH000153,W03,ST01,CR05,2025-04-21,2025-04-22,2025-04-22,31.8,1604.44,On-time
SH000154,W03,ST01,CR02,24/04/2025,"April 25, 2025",25/04/2025,7.0,795.36,On-time
SH000155,W02,ST01,CR04,"April 27, 2025","April 30, 2025",2025-05-03,417.6,18231.59,Delayed
SH000156,W03,ST01,CR03,"May 1, 2025",02/05/2025,2025-05-05,32.2,2079.07,Delayed
SH000157,W03,ST01,CR01,2025-05-04,"May 5, 2025",2025-05-05,16.2,1116.13,On-time
SH000158,W03,ST01,CR03,06/05/2025,2025-05-07,"May 7, 2025",19.7,1488.93,On-time
SH000159,W03,ST01,CR05,08/05/2025,"May 9, 2025",2025-05-09,21.8,1839.54,On-time
SH000160,W03,ST01,CR03,11/05/2025,"May 12, 2025",16/05/2025,20.0,,Delayed
SH000161,W03,ST01,CR03,"May 14, 2025",15/05/2025,15/05/2025,17.1,1197.98,On-time
SH000162,W03,ST01,CR04,"May 18, 2025","May 19, 2025",2025-05-19,11.6,1275.28,On-time
SH000163,W03,ST01,CR02,"May 21, 2025",22/05/2025,2025-05-22,16.1,1208.74,On-time
SH000164,W03,ST01,CR02,2025-05-25,"May 26, 2025",29/05/2025,9.4,847.58,Delayed
SH000165,W03,ST01,CR05,"May 28, 2025","May 29, 2025",29/05/2025,16.5,999.13,On-time
SH000166,W03,ST01,CR05,01/06/2025,02/06/2025,"June 2, 2025",34.6,2008.83,On-time
SH000167,W03,ST01,CR02,05/06/2025,"June 6, 2025",06/06/2025,16.0,1228.85,On-time
SH000168,W03,ST01,CR02,2025-06-07,2025-06-08,2025-06-08,10.9,,On-time
SH000169,W03,ST01,CR05,2025-06-11,2025-06-12,2025-06-12,10.5,1073.7,On-time
SH000170,W03,ST01,CR01,2025-06-14,2025-06-15,"June 15, 2025",32.6,2240.15,On-time
SH000171,W03,ST01,CR05,16/06/2025,"June 17, 2025","June 17, 2025",35.0,1999.22,On-time
SH000172,W03,ST01,CR04,"June 20, 2025",2025-06-21,25/06/2025,34.6,2329.78,Delayed
SH000173,W03,ST01,CR02,24/06/2025,2025-06-25,25/06/2025,19.8,2215.94,On-time
SH000174,W03,ST01,CR02,28/06/2025,29/06/2025,29/06/2025,12.5,912.05,On-time
SH000175,W03,ST01,CR04,02/07/2025,03/07/2025,03/07/2025,23.3,1295.76,On-time
SH000176,W03,ST01,CR01,06/07/2025,2025-07-07,"July 7, 2025",17.6,1107.18,On-time
SH000177,W03,ST01,CR02,09/07/2025,10/07/2025,"July 10, 2025",22.4,1559.73,On-time
SH000178,W01,ST01,CR02,13/07/2025,15/07/2025,19/07/2025,210.3,8625.28,Delayed
SH000179,W03,ST01,CR01,"July 17, 2025","July 18, 2025",2025-07-18,11.0,1133.15,On-time
SH000180,W01,ST01,CR03,2025-07-21,"July 23, 2025",2025-07-27,210.3,9974.64,Delayed
SH000181,W03,ST01,CR05,23/07/2025,24/07/2025,24/07/2025,20.7,1453.53,On-time
SH000182,W03,ST01,CR01,27/07/2025,28/07/2025,30/07/2025,27.9,1691.37,Delayed
SH000183,W03,ST01,CR04,"July 30, 2025","July 31, 2025",2025-08-03,30.9,2317.21,Delayed
SH000184,W03,ST01,CR04,"August 3, 2025","August 4, 2025",08/08/2025,12.9,1062.83,Delayed
SH000185,W03,ST01,CR01,2025-08-07,2025-08-08,2025-08-08,13.9,889.91,On-time
SH000186,W03,ST01,CR04,"August 9, 2025",10/08/2025,2025-08-10,30.9,,On-time
SH000187,W03,ST01,CR05,12/08/2025,13/08/2025,13/08/2025,13.9,1386.24,Lost
SH000188,W03,ST01,CR02,15/08/2025,16/08/2025,16/08/2025,32.2,1928.85,On-time
SH000189,W03,ST01,CR02,2025-08-19,"August 20, 2025",2025-08-20,12.0,987.92,On-time
SH000190,W03,ST01,CR05,"August 22, 2025","August 23, 2025","August 23, 2025",13.1,1255.9,On-time
SH000191,W03,ST01,CR04,26/08/2025,2025-08-27,"August 27, 2025",13.8,1111.17,Lost
SH000192,W03,ST01,CR01,"August 30, 2025",2025-08-31,"August 31, 2025",22.2,1284.13,On-time
SH000193,W03,ST01,CR03,01/09/2025,2025-09-02,"September 2, 2025",15.8,2048.12,Damaged
SH000194,W03,ST01,CR01,"September 4, 2025",05/09/2025,05/09/2025,31.8,1907.07,On-time
SH000195,W02,ST01,CR02,"September 7, 2025",10/09/2025,"September 13, 2025",417.6,22370.47,Delayed
SH000196,W03,ST01,CR01,11/09/2025,2025-09-12,15/09/2025,21.1,1739.35,Delayed
SH000197,W03,ST01,CR01,14/09/2025,15/09/2025,15/09/2025,14.8,1069.36,On-time
SH000198,W03,ST01,CR03,"September 16, 2025",2025-09-17,17/09/2025,28.8,,On-time
SH000199,W03,ST01,CR02,"September 18, 2025",2025-09-19,19/09/2025,22.8,1556.06,On-time
SH000200,W01,ST01,CR03,"September 22, 2025","September 24, 2025","September 24, 2025",210.3,10486.99,On-time
SH000201,W03,ST01,CR02,26/09/2025,"September 27, 2025","September 27, 2025",33.9,1647.18,On-time
SH000202,W03,ST01,CR01,30/09/2025,01/10/2025,2025-10-01,33.3,2007.62,On-time
SH000203,W03,ST01,CR02,"October 3, 2025",04/10/2025,"October 4, 2025",9.1,1059.13,On-time
SH000204,W02,ST01,CR05,"October 7, 2025","October 10, 2025",2025-10-10,417.6,18981.44,On-time
SH000205,W03,ST01,CR05,2025-10-10,11/10/2025,"October 11, 2025",23.6,1683.51,On-time
SH000206,W03,ST01,CR01,14/10/2025,"October 15, 2025",2025-10-15,11.0,834.74,On-time
SH000207,W03,ST01,CR01,2025-10-16,"October 17, 2025","October 17, 2025",13.5,1296.72,On-time
SH000208,W03,ST01,CR04,18/10/2025,19/10/2025,"October 19, 2025",32.4,1682.75,On-time
SH000209,W03,ST01,CR01,"October 22, 2025",2025-10-23,2025-10-24,5.7,638.3,Delayed
SH000210,W03,ST01,CR05,"October 25, 2025",2025-10-26,26/10/2025,13.6,1095.94,On-time
SH000211,W03,ST01,CR02,28/10/2025,29/10/2025,"October 31, 2025",15.7,1167.78,Delayed
SH000212,W03,ST01,CR02,"November 1, 2025","November 2, 2025",05/11/2025,6.2,650.49,Delayed
SH000213,W03,ST01,CR02,2025-11-04,2025-11-05,2025-11-05,20.3,1264.39,On-time
SH000214,W03,ST01,CR05,07/11/2025,"November 8, 2025",08/11/2025,12.4,1034.35,On-time
SH000215,W03,ST01,CR02,"November 11, 2025",12/11/2025,"November 16, 2025",13.2,1127.65,Delayed
SH000216,W03,ST01,CR03,15/11/2025,2025-11-16,"November 16, 2025",8.1,961.78,On-time
SH000217,W03,ST01,CR03,"November 18, 2025","November 19, 2025","November 19, 2025",20.7,1160.44,On-time
SH000218,W01,ST01,CR03,21/11/2025,23/11/2025,2025-11-23,130.7,10033.61,On-time
SH000219,W03,ST01,CR01,2025-11-24,25/11/2025,"November 25, 2025",8.1,667.08,On-time
SH000220,W03,ST01,CR05,27/11/2025,"November 28, 2025","November 28, 2025",24.4,1614.21,On-time
SH000221,W03,ST99,CR02,01/12/2025,02/12/2025,02/12/2025,9.6,816.26,On-time
SH000222,W03,ST01,CR03,"December 5, 2025",06/12/2025,"December 6, 2025",13.6,1125.72,On-time
SH000223,W03,ST01,CR05,"December 7, 2025","December 8, 2025","December 8, 2025",20.0,1294.72,On-time
SH000224,W03,ST01,CR02,"December 11, 2025",2025-12-12,"December 12, 2025",26.8,1723.38,On-time
SH000225,W03,ST01,CR03,"December 13, 2025","December 14, 2025",2025-12-14,8.6,904.49,On-time
SH000226,W03,ST01,CR01,2025-12-17,18/12/2025,"December 18, 2025",25.5,1543.75,On-time
SH000227,W03,ST01,CR01,"December 19, 2025",20/12/2025,2025-12-20,9.7,916.51,On-time
SH000228,W03,ST01,CR01,"December 22, 2025",2025-12-23,23/12/2025,19.4,1347.66,On-time
SH000229,W03,ST01,CR01,25/12/2025,"December 26, 2025",26/12/2025,23.6,1476.03,On-time
SH000230,W03,ST01,CR01,2025-12-29,2025-12-30,2025-12-30,34.7,1943.75,On-time
SH000231,W02,ST02,CR01,2024-01-04,"January 5, 2024",05/01/2024,20.5,1589.13,On-time
SH000232,W02,ST02,CR05,2024-01-05,06/01/2024,06/01/2024,27.7,1720.72,On-time
SH000233,W03,ST02,CR03,"January 7, 2024",10/01/2024,2024-01-14,417.6,18996.44,Delayed
SH000234,W02,ST02,CR02,2024-01-08,09/01/2024,09/01/2024,22.9,1455.55,On-time
SH000235,W02,ST02,CR03,10/01/2024,11/01/2024,2024-01-11,10.1,968.99,On-time
SH000236,W02,ST02,CR05,"January 11, 2024",12/01/2024,"January 12, 2024",14.5,882.36,On-time
SH000237,W02,ST02,CR01,13/01/2024,"January 14, 2024","January 14, 2024",15.7,1041.92,On-time
SH000238,W01,ST02,CR02,15/01/2024,17/01/2024,2024-01-17,221.4,10652.46,On-time
SH000239,W02,ST02,CR02,2024-01-16,17/01/2024,17/01/2024,24.2,1830.58,On-time
SH000240,W02,ST02,CR05,18/01/2024,2024-01-19,"January 19, 2024",17.3,,On-time
SH000241,W02,ST02,CR05,2024-01-19,"January 20, 2024","January 20, 2024",27.8,1976.78,On-time
SH000242,W02,ST02,CR01,21/01/2024,2024-01-22,2024-01-22,20.9,1336.73,On-time
SH000243,W02,ST02,CR03,"January 22, 2024",23/01/2024,23/01/2024,9.3,864.97,On-time
SH000244,W01,ST02,CR04,2024-01-23,25/01/2024,25/01/2024,221.4,9625.68,On-time
SH000245,W02,ST02,CR03,"January 24, 2024",2024-01-25,25/01/2024,34.1,2051.72,On-time
SH000246,W02,ST02,CR04,26/01/2024,27/01/2024,27/01/2024,13.8,824.25,Lost
SH000247,W02,ST02,CR04,27/01/2024,28/01/2024,2024-01-28,8.9,557.68,On-time
SH000248,W02,ST02,CR01,28/01/2024,29/01/2024,29/01/2024,18.3,1291.5,On-time
SH000249,W01,ST02,CR05,29/01/2024,31/01/2024,2024-01-31,221.4,10371.64,On-time
SH000250,W02,ST02,CR01,"January 31, 2024",2024-02-01,2024-02-01,19.5,1076.27,On-time
SH000251,W02,ST02,CR03,02/02/2024,2024-02-03,04/02/2024,9.6,966.94,Delayed
SH000252,W02,ST02,CR04,03/02/2024,04/02/2024,"February 4, 2024",34.9,2008.24,On-time
SH000253,W02,ST02,CR01,04/02/2024,"February 5, 2024",2024-02-05,24.4,1571.49,On-time
SH000254,W02,ST02,CR01,"February 6, 2024","February 7, 2024",2024-02-07,30.1,2110.4,On-time
SH000255,W02,ST02,CR02,08/02/2024,2024-02-09,12/02/2024,20.7,1279.0,Delayed
SH000256,W01,ST02,CR05,2024-02-09,"February 11, 2024",2024-02-11,221.4,,On-time
SH000257,W02,ST02,CR03,"February 11, 2024",2024-02-12,12/02/2024,15.8,1403.38,On-time
SH000258,W02,ST02,CR05,13/02/2024,14/02/2024,"February 17, 2024",23.2,1217.18,Delayed
SH000259,W02,ST02,CR01,15/02/2024,"February 16, 2024",2024-02-16,32.8,1400.42,On-time
SH000260,W02,ST02,CR01,"February 17, 2024",18/02/2024,18/02/2024,16.1,1066.86,On-time
SH000261,W02,ST02,CR02,"February 19, 2024",20/02/2024,"February 21, 2024",13.8,1171.9,Delayed
SH000262,W02,ST02,CR03,21/02/2024,"February 22, 2024",22/02/2024,14.0,734.69,On-time
SH000263,W02,ST02,CR02,"February 23, 2024",2024-02-24,2024-02-24,12.0,1006.5,On-time
SH000264,W02,ST02,CR05,24/02/2024,25/02/2024,25/02/2024,24.2,1505.52,On-time
SH000265,W02,ST02,CR05,2024-02-25,2024-02-26,"February 26, 2024",34.9,1713.4,On-time
SH000266,W02,ST02,CR01,26/02/2024,"February 27, 2024",2024-02-27,13.3,998.95,On-time
SH000267,W02,ST02,CR03,27/02/2024,28/02/2024,"February 28, 2024",17.6,1205.6,On-time
SH000268,W02,ST02,CR04,"February 28, 2024",29/02/2024,2024-03-01,11.3,797.79,Delayed
