promo_id,product_id,campaign_name,discount_pct,start_date,end_date,channel
PROMO0119,P168,Buy More Save More,11.0,19/06/2024,2024-06-29,Online
PROMO0120,P138,Buy More Save More,20.0,18/08/2025,25/08/2025,Online
PROMO0121,P037,Festive Combo Offer,28.0,"August 5, 2025",2025-08-17,Both
PROMO0122,P077,Buy More Save More,45.0,26/08/2024,29/08/2024,both
PROMO0123,P021,Season Clearance,27.0,"May 8, 2025",2025-05-14,Online
PROMO0124,P011,Season Clearance,35.0,"July 25, 2024","August 3, 2024",In-store
PROMO0125,P105,Buy More Save More,28.0,"March 9, 2024",22/03/2024,In-store
PROMO0126,P084,Anniversary Discount,27.0,2024-10-22,"October 27, 2024",Both
PROMO0127,P029,Season Clearance,43.0,"May 14, 2025","May 27, 2025",Online
PROMO0128,P031,Eid Special,25.0,2025-07-12,25/07/2025,In-store
PROMO0129,P141,Festive Combo Offer,39.0,10/01/2024,23/01/2024,Both
PROMO0130,P131,Festive Combo Offer,30.0,28/10/2025,2025-11-04,Both
PROMO0131,P029,Anniversary Discount,41.0,2025-04-16,"April 23, 2025",Both
PROMO0132,P143,Anniversary Discount,12.0,2024-08-19,25/08/2024,Both
PROMO0133,P142,Buy More Save More,25.0,2025-06-20,2025-06-29,In-store
PROMO0134,P038,Season Clearance,31.0,05/08/2025,17/08/2025,Both
PROMO0135,P173,Buy More Save More,16.0,"November 6, 2025",2025-11-09,Both
PROMO0136,P001,Festive Combo Offer,11.0,"March 28, 2025",2025-04-08,Both
PROMO0137,P136,Boishakh Bonanza,30.0,2025-07-13,21/07/2025,Online
PROMO0138,P178,Eid Special,14.0,"March 17, 2025",2025-03-31,Both
PROMO0139,P128,Boishakh Bonanza,36.0,2025-06-15,"June 18, 2025", In-store 
PROMO0140,P093,Eid Special,29.0,2025-10-05,"October 15, 2025",Both
PROMO0141,P116,Anniversary Discount,22.0,2024-09-08,20/09/2024,In-store
PROMO0142,P029,Eid Special,17.0,2024-06-13,20/06/2024,Online
PROMO0143,P040,Weekend Flash Deal,40.0,03/03/2024,"March 7, 2024",In-store
PROMO0144,P119,New Year Sale,31.0,"February 8, 2025","February 16, 2025",Online
PROMO0145,P003,Festive Combo Offer,45.0,"January 5, 2024",2024-01-15, In-store 
PROMO0146,P093,Boishakh Bonanza,42.0,01/06/2024,2024-06-04,IN-STORE
PROMO0147,P110,Boishakh Bonanza,38.0,19/10/2024,2024-10-22,IN-STORE
PROMO0148,P056,Boishakh Bonanza,17.0,"November 4, 2024",2024-11-16,Both
PROMO0149,P031,Festive Combo Offer,25.0,"September 6, 2025",2025-09-09,ONLINE
PROMO0150,P042,New Year Sale,32.0,16/12/2025,"December 26, 2025",Online
PROMO0151,P175,New Year Sale,22.0,"October 23, 2025",31/10/2025,In-store
PROMO0152,P179,Season Clearance,11.0,22/09/2025,"September 27, 2025",In-store
PROMO0153,P128,Season Clearance,41.0,"January 8, 2025",2025-01-19,In-store
PROMO0154,P156,Festive Combo Offer,22.0,2025-04-02,"April 8, 2025",Online
PROMO0155,P110,Season Clearance,20.0,13/05/2025,"May 19, 2025",Both
PROMO0156,P101,Season Clearance,22.0,"February 3, 2024",2024-02-13,Online
PROMO0157,P136,Boishakh Bonanza,36.0,14/04/2024,27/04/2024,Online
PROMO0158,P038,Anniversary Discount,28.0,04/12/2024,08/12/2024,online
PROMO0159,P056,Weekend Flash Deal,34.0,23/03/2025,2025-04-03,Both
PROMO0160,P103,Anniversary Discount,40.0,"April 8, 2025",2025-04-18,In-store
PROMO0161,P135,Festive Combo Offer,44.0,2025-03-10,2025-03-20,online
PROMO0162,P112,Festive Combo Offer,14.0,2024-07-29,"August 9, 2024",In-store
PROMO0163,P071,Eid Special,24.0,"April 20, 2024",23/04/2024,In-store
PROMO0164,P011,Season Clearance,14.0,19/06/2025,25/06/2025,In-store
PROMO0165,P016,Buy More Save More,42.0,2025-12-07,17/12/2025,BOTH
PROMO0166,P039,Weekend Flash Deal,30.0,"July 8, 2025","July 16, 2025",In-store
PROMO0167,P179,Weekend Flash Deal,24.0,"May 25, 2024","June 8, 2024",In-store
PROMO0168,P026,Weekend Flash Deal,35.0,"April 3, 2024",07/04/2024,Both
PROMO0169,P049,Buy More Save More,33.0,2025-09-02,06/09/2025,Both
PROMO0170,P082,Eid Special,35.0,2024-06-03,11/06/2024,In-store
PROMO0171,P114,Season Clearance,13.0,2024-11-11,2024-11-14,in-store
PROMO0172,P154,Festive Combo Offer,12.0,"January 23, 2024",2024-02-04,Both
PROMO0173,P138,Anniversary Discount,19.0,2024-09-14,2024-09-20,Online
PROMO0174,P046,Boishakh Bonanza,36.0,15/11/2025,19/11/2025,Both
PROMO0175,P054,Weekend Flash Deal,20.0,"March 31, 2024","April 8, 2024",Online
PROMO0176,P159,Weekend Flash Deal,17.0,01/09/2024,2024-09-06,In-store
PROMO0177,P044,Festive Combo Offer,,10/01/2025,2025-01-18,Online
PROMO0178,P113,Eid Special,44.0,2025-06-11,25/06/2025,Online
PROMO0179,P175,Season Clearance,20.0,12/04/2025,2025-04-18,Online
PROMO0180,P036,Eid Special,21.0,2024-07-30,2024-08-09,In-store
PROMO0181,P051,New Year Sale,29.0,2025-08-09,"August 22, 2025",In-store
PROMO0182,P020,Season Clearance,21.0,"November 12, 2024","November 15, 2024",Both
PROMO0183,P039,Eid Special,18.0,28/05/2025,31/05/2025,In-store
PROMO0184,P126,New Year Sale,29.0,31/10/2024,2024-11-09,Both
PROMO0185,P012,Anniversary Discount,15.0,20/06/2024,30/06/2024,Online
PROMO0186,P176,New Year Sale,15.0,22/02/2025,2025-03-07,In-store
PROMO0187,P008,New Year Sale,29.0,20/06/2024,"June 28, 2024",Both
PROMO0188,P020,Festive Combo Offer,,16/07/2025,22/07/2025,Both
PROMO0189,P018,Buy More Save More,45.0,"June 27, 2024",04/07/2024,Both
PROMO0190,P090,Season Clearance,39.0,"January 3, 2025","January 11, 2025",in-store
