customer_id,join_date,region,preferred_store_id,acquisition_channel
C00073,04/12/2019,Chattogram,ST10,Referral
C00074,2020-09-18,Dhaka,ST17,Walk-in
C00075,19/11/2020,Rajshahi,ST04,Walk-in
C00076,15/06/2019,Rajshahi,ST19,Walk-in
C00077,30/05/2019,,ST16,Online
C00078,"November 7, 2019",Barishal,ST14,Online
C00079,2021-09-27,Rajshahi,ST05,Online
C00080,"September 29, 2020",Rajshahi,ST17,Social Media
C00081,"February 18, 2021",Chattogram,ST17,Walk-in
C00082,01/10/2023,KHULNA,ST06,Referral
C00083,05/12/2019,Sylhet,ST12,Online
C00084,10/04/2025,Khulna,ST02,Online
C00085,2024-01-05,Dhaka,ST08,Walk-in
C00086,2019-05-26,Chattogram,ST04,Online
C00087,"July 5, 2020",Rajshahi,ST12,Online
C00088,2019-06-20,,ST11,Walk-in
C00089,"March 7, 2020",Dhaka,ST11,Referral
C00090,"December 3, 2020",Barishal,ST14,Walk-in
C00091,18/01/2019,CHATTOGRAM,ST19,Walk-in
C00092,"February 12, 2018",Dhaka,ST04,Referral
C00093,2021-07-05,Dhaka,ST05,Walk-in
C00094,2023-08-09,Chattogram,ST05,Online
C00095,03/06/2020,Sylhet,ST19,Online
C00096,17/11/2024,Barishal,ST02,Walk-in
C00097,"December 14, 2020",Barishal,ST01,Walk-in
C00098,"March 15, 2025",SYLHET,ST04,Walk-in
C00099,"November 21, 2019",Rajshahi,ST16,Walk-in
C00100,"April 24, 2022",Dhaka,ST12,Online
C00101,2024-02-07,Khulna,ST19,Walk-in
C00102,"June 22, 2018",Dhaka,ST05,Social Media
C00103,08/06/2025,Dhaka,ST08,Walk-in
C00104,01/12/2020,Barishal,ST12,Walk-in
C00105,24/12/2021,Khulna,ST02,Social Media
C00106,"January 10, 2023",Dhaka,ST19,Walk-in
C00107,"February 21, 2023",Rajshahi,ST17,Online
C00108,2018-03-11,Chattogram,ST03,Online
C00109,2024-12-07,dhaka,ST17,Referral
C00110,2022-12-26,Dhaka,ST09,Walk-in
C00111,"December 26, 2025",Dhaka,ST07,Walk-in
C00112,2021-10-08,,ST19,Social Media
C00113,27/11/2022,Chattogram,ST11,Walk-in
C00114,2021-07-11,Chattogram,ST05,Online
C00115,2025-02-11, Dhaka ,ST17,Online
C00116,2024-08-27,Barishal,ST15,Online
C00117,"April 7, 2025", Sylhet ,ST04,Referral
C00118,12/01/2022,Khulna,ST14,Social Media
C00119,2024-04-30,,ST13,Walk-in
C00120,"November 13, 2020",Sylhet,ST06,Online
C00121,07/09/2021,Khulna,ST09,Online
C00122,2024-01-29,Dhaka,ST17,Walk-in
C00123,2018-08-25,dhaka,ST04,Referral
C00124,"September 6, 2023",Dhaka,ST15,Walk-in
C00125,2018-02-16,Dhaka,ST17,Walk-in
C00126,2022-08-23,,ST19,Referral
C00127,25/10/2021,,ST07,Social Media
C00128,30/09/2021,Dhaka,ST06,Walk-in
C00129,"December 14, 2021",Sylhet,ST19,Referral
C00130,07/12/2021,dhaka,ST10,Walk-in
C00131,"April 4, 2021",dhaka,ST12,Walk-in
C00132,"August 10, 2021",Rajshahi,ST11,Walk-in
C00133,18/07/2022,Dhaka,ST11,Referral
C00134,2024-02-08,Dhaka,ST13,Walk-in
C00135,"June 1, 2022",Dhaka,ST09,Walk-in
C00136,20/02/2023,Dhaka,ST08,Online
C00137,2024-09-08,Chattogram,ST09,Walk-in
C00138,29/11/2025,Dhaka,ST14,Walk-in
C00139,"November 14, 2018",Dhaka,ST17,Walk-in
C00140,"September 13, 2023",Barishal,ST12,Referral
C00141,"October 20, 2019", Khulna ,ST14,Online
C00142,2019-07-29,Dhaka,ST09,Referral
C00143,04/05/2024,Dhaka,ST16,Walk-in
C00144,"July 20, 2018",Chattogram,ST08,Walk-in
C00145,11/10/2024,Khulna,ST09,Referral
C00146,28/02/2024,Khulna,ST02,Walk-in
C00147,2025-12-14,Dhaka,ST06,Walk-in
C00148,2023-05-05,Dhaka,ST15,Walk-in
C00149,"December 23, 2024",Chattogram,ST02,Walk-in
C00150,13/12/2018,khulna,ST05,Walk-in
C00151,2025-02-11,Khulna,ST16,Social Media
C00152,"April 14, 2019",Dhaka,ST18,Walk-in
C00153,"July 6, 2020",Sylhet,ST09,Online
C00154,2019-01-10,Dhaka,ST09,Walk-in
C00155,2021-03-18, Rajshahi ,ST11,Online
C00156,2023-12-28,Khulna,ST16,Online
C00157,22/02/2020,Chattogram,ST10,Social Media
C00158,"July 28, 2024",Dhaka,ST04,Walk-in
C00159,2022-11-06,Sylhet,ST09,Referral
C00160,2023-01-11,Chattogram,ST06,Walk-in
C00161,2025-07-04,Khulna,ST14,Online
C00162,14/06/2021, Dhaka ,ST03,Social Media
C00163,03/10/2020,Khulna,ST13,Online
C00164,2025-12-14,Dhaka,ST03,Online
C00165,15/06/2022, Dhaka ,ST20,Referral
C00166,"November 30, 2022",Dhaka,ST13,Social Media
C00167,"May 15, 2020",Dhaka,ST03,Walk-in
C00168,22/09/2019,,ST20,Walk-in
C00169,"May 11, 2019",Sylhet,ST12,Online
C00170,15/10/2019, Dhaka ,ST13,Social Media
C00171,2019-07-24,Dhaka,ST02,Walk-in
C00172,2023-12-21,Dhaka,ST04,Walk-in
C00173,19/06/2018,Dhaka,ST17,Online
C00174,12/01/2023,Khulna,ST10,Walk-in
C00175,"August 3, 2025",Barishal,ST13,Walk-in
C00176,2024-02-14,Dhaka,ST20,Walk-in
C00177,22/03/2021,,ST09,Walk-in
C00178,23/06/2018,Rajshahi,ST08,Online
C00179,"September 1, 2024",Barishal,ST17,Walk-in
C00180,"January 10, 2018",Dhaka,ST02,Walk-in
C00181,2023-06-13,,ST10,Online
C00182,2023-05-14,Chattogram,ST18,Walk-in
C00183,15/07/2019,khulna,ST05,Walk-in
C00184,2023-12-01,Rajshahi,ST07,Walk-in
C00185,2019-05-28,Chattogram,ST10,Walk-in
C00186,21/10/2019,Dhaka,ST02,Online
C00187,"June 29, 2024",RAJSHAHI,ST02,Walk-in
C00188,2025-10-30,Khulna,ST06,Walk-in
C00189,12/02/2020,Chattogram,ST18,Walk-in
C00190,"May 14, 2025",Sylhet,ST05,Walk-in
C00191,2025-04-20,Chattogram,ST15,Walk-in
C00192,2024-02-25,chattogram,ST09,Walk-in
C00193,2019-02-13,Chattogram,ST16,Walk-in
C00194,24/05/2020,rajshahi,ST07,Walk-in
C00195,"June 2, 2023",Barishal,ST18,Referral
C00196,27/12/2025, Chattogram ,ST08,Walk-in
C00197,06/07/2024,Dhaka,ST16,Walk-in
C00198,"May 12, 2021",CHATTOGRAM,ST17,Online
C00199,2019-11-18, Dhaka ,ST09,Walk-in
C00200,"September 5, 2025",Dhaka,ST14,Referral
C00201,"March 17, 2020",Dhaka,ST03,Walk-in
C00202,"September 26, 2020", Chattogram ,ST10,Walk-in
C00203,"September 17, 2025",Dhaka,ST08,Social Media
C00204,2022-06-29,Dhaka,ST20,Walk-in
C00205,12/02/2020,Rajshahi,ST19,Walk-in
C00206,16/01/2018,,ST16,Online
C00207,09/06/2021,Sylhet,ST19,Social Media
C00208,"November 19, 2025",Khulna,ST20,Walk-in
C00209,16/06/2021,Sylhet,ST16,Online
C00210,05/08/2023,Dhaka,ST12,Walk-in
C00211,"January 9, 2020",Dhaka,ST05,Online
C00212,14/03/2024,Sylhet,ST17,Walk-in
C00213,15/03/2024,Chattogram,ST04,Online
C00214,"November 12, 2022",Dhaka,ST04,Walk-in
C00215,2024-03-03,Chattogram,ST18,Online
C00216,2022-08-18,Chattogram,ST03,Walk-in
C00217,"January 9, 2021",Dhaka,ST03,Online
C00218,2023-11-25,sylhet,ST11,Online
C00219,04/09/2024,Dhaka,ST12,Referral
C00220,21/09/2024,Dhaka,ST01,Social Media
C00221,"September 15, 2019",Khulna,ST08,Walk-in
C00222,"May 30, 2023",Dhaka,ST05,Online
C00223,13/01/2018,Sylhet,ST07,Walk-in
C00224,2022-07-29,Chattogram,ST04,Social Media
C00225,2022-07-26, Dhaka ,ST14,Online
C00226,2020-11-27,Khulna,ST10,Walk-in
C00227,2025-12-12,Dhaka,ST20,Walk-in
C00228,"January 22, 2025",Dhaka,ST01,Referral
C00229,23/04/2018, Khulna ,ST16,Referral
C00230,"September 2, 2019",Rajshahi,ST19,Referral
C00231,"August 31, 2019",Rajshahi,ST10,Online
C00232,05/03/2025,,ST14,Walk-in
C00233,24/02/2022,Dhaka,ST09,Social Media
C00234,2023-10-30,,ST12,Online
C00235,2024-06-23,Dhaka,ST19,Online
C00236,2024-02-20,Dhaka,ST11,Online
C00237,2018-09-18,Rajshahi,ST12,Online
C00238,"February 14, 2019",Dhaka,ST20,Online
C00239,"February 28, 2021",,ST10,Online
C00240,2020-09-15,Dhaka,ST04,Referral
C00241,"December 22, 2023",Chattogram,ST14,Referral
C00242,02/04/2019, Sylhet ,ST14,Walk-in
C00243,20/12/2020,Khulna,ST05,Walk-in
C00244,"November 22, 2019",Dhaka,ST15,Online
C00245,"July 6, 2019",Dhaka,ST02,Online
C00246,"May 20, 2019",Chattogram,ST07,Online
C00247,25/07/2019,Chattogram,ST18,Referral
C00248,"July 6, 2022",Chattogram,ST13,Walk-in
C00249,"April 12, 2021",Barishal,ST13,Walk-in
C00250,"June 25, 2021",Chattogram,ST13,Referral
C00251,"October 31, 2021",Chattogram,ST04,Social Media
C00252,04/12/2023,Barishal,ST20,Walk-in
C00253,2024-11-21,Dhaka,ST06,Walk-in
C00254,2022-03-18,Barishal,ST16,Walk-in
C00255,"February 19, 2023",Chattogram,ST20,Walk-in
C00256,"November 27, 2023",Chattogram,ST05,Online
C00257,2023-07-09,Barishal,ST13,Walk-in
C00258,28/01/2019,Chattogram,ST01,Walk-in
C00259,10/11/2025,Chattogram,ST13,Online
C00260,"April 27, 2019",Dhaka,ST09,Online
C00261,17/04/2021,,ST02,Online
C00262,21/03/2023,,ST14,Walk-in
C00263,"March 23, 2021",dhaka,ST20,Walk-in
C00264,"December 11, 2019",RAJSHAHI,ST02,Walk-in
C00265,20/05/2025,Sylhet,ST18,Social Media
C00266,2018-07-28,Chattogram,ST17,Walk-in
C00267,"December 19, 2019",dhaka,ST11,Online
C00268,2025-12-09,Chattogram,ST19,Online
C00269,02/11/2023,Dhaka,ST07,Referral
C00270,11/09/2018,,ST15,Walk-in
C00271,2024-01-13,Chattogram,ST14,Walk-in
C00272,"October 1, 2025",Dhaka,ST12,Referral
C00273,"October 13, 2018",DHAKA,ST17,Walk-in
C00274,"April 24, 2021",Sylhet,ST18,Online
C00275,"September 29, 2021",dhaka,ST16,Walk-in
C00276,"January 18, 2019",,ST12,Social Media
C00277,09/08/2019,,ST20,Online
C00278,23/05/2019,SYLHET,ST12,Walk-in
C00279,2019-06-26,Barishal,ST13,Referral
C00280,2021-03-24,Khulna,ST04,Online
C00281,"September 16, 2021",Dhaka,ST07,Online
C00282,"November 26, 2019",Rajshahi,ST19,Walk-in
C00283,25/04/2020,Dhaka,ST10,Walk-in
C00284,2019-07-16,RAJSHAHI,ST11,Online
C00285,13/05/2024,Chattogram,ST17,Walk-in
C00286,2019-09-11,Dhaka,ST07,Referral
C00287,"April 4, 2025",Dhaka,ST06,Walk-in
C00288,2022-04-23,Barishal,ST01,Online
C00289,2024-06-01,Dhaka,ST05,Walk-in
C00290,2023-02-02,Dhaka,ST11,Online
C00291,16/02/2020,Dhaka,ST15,Walk-in
C00292,22/10/2022,Chattogram,ST07,Walk-in
C00293,"March 11, 2020",,ST09,Walk-in
C00294,2018-12-13,Rajshahi,ST05,Online
C00295,14/01/2020,Chattogram,ST17,Walk-in
C00296,15/03/2020,,ST11,Referral
C00297,30/01/2019,Dhaka,ST03,Walk-in
C00298,10/03/2018,Chattogram,ST13,Online
C00299,18/07/2025,Khulna,ST07,Online
C00300,"February 8, 2022",Rajshahi,ST18,Walk-in
C00301,19/03/2021,Chattogram,ST06,Walk-in
C00302,2025-06-08,Sylhet,ST18,Walk-in
C00303,2019-10-19,Chattogram,ST14,Online
C00304,"March 22, 2021",,ST03,Social Media
C00305,2024-10-08,CHATTOGRAM,ST16,Walk-in
C00306,"January 20, 2023",Rajshahi,ST15,Online
C00307,11/03/2021,CHATTOGRAM,ST10,Online
C00308,"January 18, 2020",Barishal,ST04,Online
C00309,"April 13, 2018",Chattogram,ST10,Online
C00310,"September 6, 2018",Dhaka,ST13,Social Media
C00311,"April 18, 2019",Dhaka,ST03,Online
C00312,2024-04-15,Chattogram,ST07,Referral
C00313,2023-02-10,Chattogram,ST15,Walk-in
C00314,"June 19, 2021",Sylhet,ST12,Referral
C00315,05/04/2024,Rajshahi,ST20,Social Media
C00316,2019-04-15,Dhaka,ST05,Social Media
C00317,"September 8, 2019",Sylhet,ST16,Walk-in
C00318,2021-02-20,RAJSHAHI,ST09,Referral
C00319,2025-05-02,Chattogram,ST05,Walk-in
C00320,29/11/2022,Chattogram,ST20,Online
C00321,2024-10-20,Dhaka,ST13,Walk-in
C00322,26/12/2019,Chattogram,ST11,Online
C00323,"October 13, 2024",Rajshahi,ST06,Walk-in
C00324,"July 31, 2018",Khulna,ST18,Walk-in
C00325,"October 27, 2019",Sylhet,ST01,Walk-in
C00326,2022-03-08,Dhaka,ST03,Walk-in
C00327,"May 28, 2018",Rajshahi,ST04,Walk-in
C00328,"November 11, 2024",RAJSHAHI,ST14,Referral
C00329,"December 7, 2024",Dhaka,ST03,Online
C00330,01/05/2022,Khulna,ST16,Referral
C00331,"June 11, 2020",Dhaka,ST04,Referral
C00332,"October 16, 2018",Dhaka,ST14,Walk-in
C00333,"December 13, 2022",Dhaka,ST16,Online
C00334,"April 20, 2022",Dhaka,ST18,Online
C00335,2024-01-29, Khulna ,ST06,Walk-in
C00336,2022-10-26,Chattogram,ST02,Online
C00337,"January 10, 2019", Dhaka ,ST16,Online
C00338,22/12/2018,Chattogram,ST09,Online
C00339,2024-03-30,chattogram,ST19,Online
C00340,"April 10, 2019",Dhaka,ST04,Walk-in
C00341,03/07/2025,Dhaka,ST12,Referral
C00342,06/11/2018,Sylhet,ST03,Walk-in
C00343,2023-10-28,Dhaka,ST10,Referral
C00344,18/10/2025,Rajshahi,ST01,Walk-in
C00345,2021-07-12,Dhaka,ST16,Walk-in
C00346,15/06/2018,Rajshahi,ST13,Walk-in
C00347,"January 3, 2025",Khulna,ST02,Walk-in
C00348,"July 1, 2019",Dhaka,ST10,Walk-in
C00349,21/03/2022,Dhaka,ST09,Walk-in
C00350,"November 14, 2025",Barishal,ST14,Online
C00351,15/12/2023,Chattogram,ST10,Social Media
C00352,"May 16, 2018",Sylhet,ST10,Walk-in
C00353,2024-07-23,,ST17,Online
C00354,2019-04-16,Dhaka,ST11,Referral
C00355,2023-12-29,Chattogram,ST17,Walk-in
C00356,19/12/2022,Khulna,ST18,Referral
C00357,"April 20, 2020",Dhaka,ST17,Walk-in
C00358,2021-05-21,RAJSHAHI,ST20,Walk-in
C00359,11/12/2018,Sylhet,ST14,Walk-in
C00360,2025-11-21,Dhaka,ST12,Walk-in
C00361,27/11/2019,Dhaka,ST11,Online
C00362,20/06/2020,Dhaka,ST05,Referral
C00363,2022-01-08,Chattogram,ST17,Walk-in
C00364,18/05/2023,SYLHET,ST14,Social Media
C00365,2022-01-15,Chattogram,ST18,Walk-in
C00366,"January 15, 2022",Dhaka,ST15,Walk-in
C00367,29/08/2022,Rajshahi,ST10,Referral
C00368,2024-11-09, Sylhet ,ST06,Referral
C00369,"February 27, 2021",Chattogram,ST20,Online
C00370,26/08/2024,Sylhet,ST15,Walk-in
C00371,16/04/2024,Dhaka,ST18,Walk-in
C00372,2025-09-07,Rajshahi,ST12,Walk-in
C00373,2025-04-20,Chattogram,ST11,Referral
C00374,2024-05-19,Chattogram,ST01,Walk-in
C00375,2019-12-22,Dhaka,ST02,Online
C00376,"March 10, 2024",Sylhet,ST15,Walk-in
C00377,21/11/2023,Sylhet,ST05,Walk-in
C00378,25/04/2020,Dhaka,ST02,Walk-in
C00379,2023-06-03,Khulna,ST16,Online
C00380,2020-01-09,Khulna,ST13,Online
C00381,"March 8, 2022",Dhaka,ST03,Social Media
C00382,15/05/2024,,ST10,Referral
C00383,05/07/2019,Chattogram,ST10,Online
C00384,2020-09-10,Barishal,ST01,Walk-in
C00385,11/05/2024,Dhaka,ST13,Social Media
C00386,18/08/2021,Dhaka,ST08,Referral
C00387,06/09/2025,Chattogram,ST18,Referral
C00388,2018-01-24,Dhaka,ST03,Walk-in
C00389,09/10/2023,rajshahi,ST17,Walk-in
C00390,05/07/2024,CHATTOGRAM,ST01,Referral
C00391,2025-05-04,DHAKA,ST16,Walk-in
C00392,"April 3, 2019",Chattogram,ST16,Walk-in
C00393,13/11/2025,Khulna,ST09,Walk-in
C00394,2021-02-19,Rajshahi,ST06,Online
C00395,24/10/2020,,ST03,Walk-in
C00396,04/11/2020,Dhaka,ST07,Online
C00397,"February 7, 2023",Dhaka,ST14,Online
C00398,"April 10, 2023",Khulna,ST15,Online
C00399,15/10/2021,Rajshahi,ST04,Walk-in
C00400,27/07/2018,Sylhet,ST01,Social Media
C00401,"November 20, 2025",Khulna,ST12,Walk-in
C00402,11/10/2019,Dhaka,ST12,Walk-in
C00403,"October 1, 2018",Rajshahi,ST20,Walk-in
C00404,2022-10-11,Dhaka,ST16,Walk-in
C00405,"April 19, 2021",Dhaka,ST12,Online
C00406,"December 3, 2022",Chattogram,ST12,Walk-in
C00407,31/12/2024,Chattogram,ST13,Referral
C00408,"October 12, 2018", Barishal ,ST10,Walk-in
C00409,09/04/2020,Dhaka,ST14,Social Media
C00410,17/02/2022,Khulna,ST04,Online
C00411,2024-04-19,Rajshahi,ST17,Walk-in
C00412,"October 20, 2022",Sylhet,ST18,Online
C00413,22/01/2021,Barishal,ST09,Walk-in
C00414,17/11/2022,Chattogram,ST10,Social Media
C00415,"November 1, 2025",Chattogram,ST10,Referral
C00416,2021-11-02,Dhaka,ST17,Online
C00417,2025-01-23, Dhaka ,ST04,Walk-in
C00418,27/03/2024,Khulna,ST07,Social Media
C00419,29/05/2020,Chattogram,ST13,Online
C00420,2019-12-30,Dhaka,ST14,Online
C00421,2024-02-27,Dhaka,ST06,Walk-in
C00422,2019-08-29,Chattogram,ST03,Walk-in
C00423,10/09/2020,Rajshahi,ST11,Online
C00424,"November 19, 2019",,ST13,Online
C00425,06/11/2022, Rajshahi ,ST16,Referral
C00426,08/05/2020,Sylhet,ST01,Online
C00427,07/04/2023,Rajshahi,ST01,Online
C00428,22/06/2025,Dhaka,ST08,Walk-in
C00429,2024-08-19,Sylhet,ST12,Referral
C00430,"July 31, 2025",Dhaka,ST01,Walk-in
C00431,"March 13, 2018",,ST04,Referral
C00432,2021-08-22,Rajshahi,ST09,Walk-in
C00433,05/10/2019,sylhet,ST06,Online
C00434,04/05/2025,Dhaka,ST15,Referral
C00435,2023-09-10,KHULNA,ST01,Referral
C00436,"July 24, 2020",Dhaka,ST18,Walk-in
C00437,"July 4, 2022",Sylhet,ST04,Online
C00438,2022-11-03,Barishal,ST09,Walk-in
C00439,18/12/2021,,ST20,Walk-in
C00440,2021-10-17,Khulna,ST14,Referral
C00441,11/06/2018,Sylhet,ST20,Referral
C00442,14/08/2021,Rajshahi,ST01,Walk-in
C00443,2020-10-13,Sylhet,ST15,Social Media
C00444,17/07/2024,Rajshahi,ST02,Walk-in
C00445,"December 1, 2024",Dhaka,ST13,Social Media
C00446,01/01/2024,Rajshahi,ST07,Referral
C00447,2018-04-01,Dhaka,ST16,Social Media
C00448,"September 22, 2024",barishal,ST03,Referral
C00449,"March 3, 2021",Dhaka,ST18,Social Media
C00450,30/04/2021,Dhaka,ST10,Online
C00451,2025-07-22,Khulna,ST11,Walk-in
C00452,"December 7, 2024",Dhaka,ST12,Walk-in
C00453,29/05/2018,Chattogram,ST01,Referral
C00454,16/11/2020,Rajshahi,ST07,Walk-in
C00455,"December 30, 2023",Dhaka,ST15,Social Media
C00456,2022-04-23,Dhaka,ST20,Walk-in
C00457,2020-01-23,Chattogram,ST20,Referral
C00458,"March 13, 2022",DHAKA,ST11,Walk-in
C00459,05/12/2024,Dhaka,ST06,Referral
C00460,2019-10-15,Dhaka,ST10,Social Media
C00461,19/12/2023, Chattogram ,ST10,Walk-in
C00462,16/11/2023, Dhaka ,ST08,Online
C00463,"January 30, 2025",Dhaka,ST08,Walk-in
C00464,"May 19, 2020",Sylhet,ST18,Referral
C00465,23/09/2019,,ST08,Referral
C00466,2022-05-19,dhaka,ST01,Walk-in
C00467,01/04/2022,Dhaka,ST15,Walk-in
C00468,"April 10, 2021",Khulna,ST14,Walk-in
C00469,25/03/2024,Sylhet,ST08,Walk-in
C00470,2024-05-22,Chattogram,ST13,Referral
C00471,19/12/2019,Chattogram,ST19,Walk-in
C00472,2024-05-11,Dhaka,ST19,Social Media
C00473,05/11/2019,Khulna,ST16,Social Media
C00474,05/04/2021,Khulna,ST12,Social Media
C00475,21/03/2018,Khulna,ST01,Online
C00476,2020-09-20,Dhaka,ST11,Walk-in
C00477,2025-08-30,Dhaka,ST17,Referral
C00478,"July 16, 2021",Dhaka,ST17,Online
C00479,2023-09-05,Dhaka,ST16,Social Media
C00480,"November 12, 2018",Dhaka,ST20,Walk-in
C00481,"January 30, 2023",Sylhet,ST11,Walk-in
C00482,2020-12-20,Dhaka,ST03,Social Media
C00483,2023-12-13,Khulna,ST10,Referral
C00484,2025-06-02,Dhaka,ST07,Walk-in
C00485,"April 2, 2022", Dhaka ,ST17,Online
C00486,28/10/2018,Khulna,ST16,Walk-in
C00487,2021-10-22,Rajshahi,ST09,Online
C00488,26/12/2018,Chattogram,ST08,Walk-in
C00489,"August 5, 2021", Sylhet ,ST04,Walk-in
C00490,2018-06-28,Dhaka,ST01,Walk-in
C00491,2023-02-14,Dhaka,ST07,Walk-in
C00492,25/06/2020,Chattogram,ST05,Walk-in
C00493,"August 12, 2019", Chattogram ,ST06,Walk-in
C00494,20/02/2018,sylhet,ST20,Walk-in
C00495,06/02/2025,Dhaka,ST14,Online
C00496,2024-09-10,Sylhet,ST12,Online
C00497,2024-06-28,,ST04,Online
C00498,"June 19, 2018",DHAKA,ST17,Walk-in
C00499,"October 17, 2020",Dhaka,ST13,Walk-in
C00500,2025-10-07, Chattogram ,ST11,Referral
C00501,2022-08-17,Rajshahi,ST10,Referral
C00502,"January 11, 2019",Sylhet,ST12,Social Media
C00503,16/02/2019,Rajshahi,ST17,Social Media
C00504,08/02/2020,Chattogram,ST15,Online
C00505,2025-10-10,Dhaka,ST10,Referral
C00506,11/05/2019,chattogram,ST14,Walk-in
C00507,21/03/2025,Dhaka,ST19,Referral
C00508,03/06/2023,Rajshahi,ST07,Social Media
C00509,2025-05-15,Dhaka,ST19,Referral
C00510,2024-08-08,Dhaka,ST13,Walk-in
C00511,27/08/2020,,ST04,Walk-in
C00512,"August 14, 2024",Chattogram,ST20,Walk-in
C00513,2019-05-09,Sylhet,ST14,Walk-in
C00514,"April 29, 2020",Chattogram,ST08,Referral
C00515,11/09/2019,Khulna,ST05,Online
C00516,"January 24, 2019",Khulna,ST19,Walk-in
C00517,20/09/2018, Khulna ,ST17,Online
C00518,2019-07-02,Sylhet,ST01,Walk-in
C00519,2018-12-17,Sylhet,ST13,Online
C00520,15/01/2021,Sylhet,ST03,Walk-in
C00521,28/07/2018,Chattogram,ST06,Online
C00522,2018-06-28,Dhaka,ST12,Online
C00523,30/11/2025,Sylhet,ST05,Online
C00524,14/09/2018,Dhaka,ST11,Referral
C00525,05/08/2018,Dhaka,ST09,Walk-in
C00526,"March 29, 2018",Khulna,ST12,Online
C00527,23/01/2019,Dhaka,ST17,Walk-in
C00528,"March 22, 2022",Chattogram,ST04,Walk-in
C00529,"August 12, 2024",Sylhet,ST16,Online
C00530,"November 16, 2023",Dhaka,ST05,Online
C00531,2022-08-22,Khulna,ST01,Social Media
C00532,06/09/2018,Dhaka,ST09,Walk-in
C00533,2024-03-11,Khulna,ST07,Referral
