po_id,supplier_id,product_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,order_qty,unit_cost,qty_received,qty_rejected,rejection_reason,po_status
PO000055,S006,P001,W02,2025-01-20,2025-01-28,"February 3, 2025",413,243.92,408,5.0,Wrong specification,Delayed
PO000056,S006,P001,W02,29/01/2025,"February 6, 2025",2025-02-06,165,243.92,165,0.0,,Delivered
PO000057,S006,P001,W02,2025-02-06,19/02/2025,19/02/2025,493,243.92,485,8.0,Quality defect,Delivered
PO000058,S006,P001,W02,2025-02-16,24/02/2025,25/02/2025,195,243.92,189,,Damaged in transit,Delayed
PO000059,S006,P001,W02,2025-02-24,04/03/2025,2025-03-05,517,243.92,509,8.0,Expired/near-expiry,Delayed
PO000060,S006,P001,W02,"March 4, 2025",2025-03-12,2025-03-12,460,243.92,451,9.0,Damaged in transit,Delivered
PO000061,S006,P001,W02,11/03/2025,2025-03-19,19/03/2025,388,243.92,381,7.0,Wrong specification,Delivered
PO000062,S006,P001,W02,18/03/2025,2025-03-26,"March 26, 2025",245,243.92,237,,Quality defect,Delivered
PO000063,S006,P001,W02,2025-03-29,"April 6, 2025","April 6, 2025",437,243.92,422,15.0,Expired/near-expiry,Delivered
PO000064,S006,P001,W02,"April 10, 2025",2025-04-18,18/04/2025,416,243.92,412,,Quality defect,Delivered
PO000065,S006,P001,W02,"April 20, 2025","May 3, 2025",2025-05-04,411,243.92,410,,wrong specification,Delayed
PO000066,S006,P001,W02,2025-04-29,"May 7, 2025",08/05/2025,533,243.92,526,7.0,Quality defect,Delayed
PO000067,S006,P001,W02,"May 10, 2025",2025-05-25,2025-05-26,164,243.92,161,3.0,Expired/near-expiry,Delayed
PO000068,S006,P001,W02,"May 18, 2025",26/05/2025,2025-05-27,327,243.92,315,12.0,Wrong specification,Delayed
PO000069,S006,P001,W02,25/05/2025,02/06/2025,"June 2, 2025",307,243.92,302,,quality defect,Delivered
PO000070,S006,P001,W02,06/06/2025,"June 14, 2025",14/06/2025,381,243.92,374,7.0,Wrong specification,Delivered
PO000071,S006,P001,W02,15/06/2025,23/06/2025,"June 25, 2025",563,243.92,554,9.0, Expired/near-expiry ,Delayed
PO000072,S006,P001,W02,2025-06-27,2025-07-05,05/07/2025,307,243.92,304,3.0,Quality defect,Delivered
PO000073,S006,P001,W02,"July 6, 2025",14/07/2025,14/07/2025,402,243.92,394,8.0,Wrong specification,Delivered
PO000074,S006,P001,W02,13/07/2025,21/07/2025,"July 22, 2025",531,243.92,524,7.0,wrong specification,Delayed
PO000075,S006,P001,W02,2025-07-22,2025-07-30,"July 30, 2025",425,243.92,423,2.0,Expired/near-expiry,Delivered
PO000076,S006,P001,W02,"August 1, 2025",09/08/2025,"August 9, 2025",363,243.92,355,8.0,Expired/near-expiry,Delivered
PO000077,S006,P001,W02,2025-08-12,2025-08-20,"August 20, 2025",518,243.92,512,6.0,Expired/near-expiry,Delivered
PO000078,S006,P001,W02,19/08/2025,2025-08-27,"August 27, 2025",217,243.92,213,4.0,Expired/near-expiry,Delivered
PO000079,S006,P001,W02,27/08/2025,04/09/2025,"September 5, 2025",394,243.92,383,11.0,Damaged in transit,Delayed
PO000080,S006,P001,W02,2025-09-06,14/09/2025,2025-09-14,419,243.92,410,9.0,Wrong specification,Delivered
PO000081,S006,P001,W02,2025-09-14,22/09/2025,2025-09-23,309,243.92,300,9.0,Damaged in transit,Delayed
PO000082,S006,P001,W02,"September 27, 2025",05/10/2025,06/10/2025,534,243.92,522,12.0,Expired/near-expiry,Delayed
PO000083,S006,P001,W02,2025-10-07,15/10/2025,"October 16, 2025",352,243.92,346,6.0,Expired/near-expiry,Delayed
PO000084,S006,P001,W02,17/10/2025,25/10/2025,"October 25, 2025",302,243.92,293,9.0,Quality defect,Delivered
PO000085,S006,P001,W02,"October 26, 2025",03/11/2025,2025-11-03,335,243.92,325,10.0,Quality defect,Delivered
PO000086,S006,P001,W02,04/11/2025,2025-11-12,2025-11-12,495,243.92,486,9.0,Damaged in transit,Delivered
PO000087,S006,P001,W02,13/11/2025,2025-11-21,24/11/2025,500,243.92,486,14.0,expired/near-expiry,Delayed
PO000088,S006,P001,W02,20/11/2025,"November 28, 2025",28/11/2025,288,243.92,281,7.0,damaged in transit,Delivered
PO000089,S006,P009X,W02,03/12/2025,11/12/2025,11/12/2025,435,243.92,424,11.0,Damaged in transit,Delivered
PO000090,S006,P001,W02,16/12/2025,24/12/2025,25/12/2025,446,243.92,439,7.0,Wrong specification,Delayed
PO000091,S006,P001,W02,"December 23, 2025",31/12/2025,"December 31, 2025",429,243.92,424,5.0,Wrong specification,Delivered
PO000092,S006,P001,W03,"October 16, 2024",24/10/2024,24/10/2024,437,243.92,430,7.0,Wrong specification,Delivered
PO000093,S006,P001,W03,2024-10-26,"November 3, 2024",03/11/2024,428,243.92,418,10.0,Quality defect,Delivered
PO000094,S006,P001,W03,"November 6, 2024",2024-11-14,2024-11-14,462,243.92,449,13.0,Quality defect,Delivered
PO000095,S006,P001,W03,2024-11-15,2024-11-23,2024-11-23,333,243.92,328,5.0,Damaged in transit,Delivered
PO000096,S006,P001,W03,"November 25, 2024",03/12/2024,2024-12-04,478,243.92,470,8.0,Expired/near-expiry,Delayed
PO000097,S006,P001,W03,"December 4, 2024",12/12/2024,"December 13, 2024",269,243.92,264,5.0,Expired/near-expiry,Delayed
PO000098,S006,P001,W03,2024-12-15,"December 23, 2024",24/12/2024,552,243.92,541,11.0,Quality defect,Delayed
PO000099,S006,P001,W03,"December 28, 2024",05/01/2025,"January 5, 2025",341,243.92,331,10.0,Quality defect,Delivered
PO000100,S006,P001,W03,"January 10, 2025","January 18, 2025","January 19, 2025",325,243.92,297,,Quality defect,Partial
PO000101,S006,P001,W03,23/01/2025,2025-01-31,2025-01-31,516,243.92,510,6.0,Damaged in transit,Delivered
PO000102,S006,P001,W03,01/02/2025,"February 9, 2025",09/02/2025,336,243.92,325,11.0,expired/near-expiry,Delivered
PO000103,S006,P001,W03,12/02/2025,20/02/2025,"February 21, 2025",407,243.92,400,7.0,Quality defect,Delayed
PO000104,S006,P001,W03,"February 25, 2025","March 5, 2025","March 6, 2025",490,243.92,481,9.0,Quality defect,Delayed
PO000105,S006,P001,W03,"March 5, 2025",2025-03-13,"March 13, 2025",330,243.92,323,7.0,Wrong specification,Delivered
PO000106,S006,P001,W03,2025-03-14,"March 22, 2025",23/03/2025,50,243.92,50,0.0,,Delayed
PO000107,S006,P001,W03,22/03/2025,2025-03-30,2025-03-31,427,243.92,420,7.0,Quality defect,Delayed
PO000108,S006,P001,W03,02/04/2025,"April 10, 2025",2025-04-10,337,243.92,315,22.0,Expired/near-expiry,Partial
PO000109,S006,P001,W03,14/04/2025,22/04/2025,22/04/2025,404,243.92,395,9.0,Damaged in transit,Delivered
PO000110,S006,P001,W03,2025-04-24,"May 2, 2025","May 3, 2025",611,243.92,596,15.0,Wrong specification,Delayed
PO000111,S006,P001,W03,2025-05-04,"May 12, 2025","May 12, 2025",217,243.92,211,6.0,Expired/near-expiry,Delivered
PO000112,S006,P001,W03,2025-05-11,"May 19, 2025",2025-05-20,349,243.92,342,7.0,Damaged in transit,Delayed
PO000113,S006,P001,W03,2025-05-18,"May 26, 2025","May 27, 2025",485,243.92,473,12.0,Damaged in transit,Delayed
PO000114,S006,P001,W03,"May 30, 2025",07/06/2025,"June 7, 2025",467,243.92,459,8.0,QUALITY DEFECT,Delivered
PO000115,S006,P001,W03,2025-06-11,2025-06-19,2025-06-22,276,243.92,269,7.0,Wrong specification,Delayed
PO000116,S006,P001,W03,18/06/2025,26/06/2025,"June 26, 2025",184,243.92,179,5.0,Damaged in transit,Delivered
PO000117,S006,P001,W03,28/06/2025,06/07/2025,"July 7, 2025",590,243.92,572,18.0,Quality defect,Delayed
PO000118,S006,P001,W03,"July 10, 2025","July 18, 2025",2025-07-19,509,243.92,501,8.0,quality defect,Delayed
PO000119,S006,P001,W03,20/07/2025,2025-07-28,2025-07-29,490,243.92,483,7.0,QUALITY DEFECT,Delayed
PO000120,S006,P001,W03,"August 1, 2025",2025-08-09,"August 10, 2025",391,243.92,382,9.0, Quality defect ,Delayed
PO000121,S006,P001,W03,"August 8, 2025",2025-08-16,2025-08-16,548,243.92,539,9.0,Quality defect,Delivered
PO000122,S006,P001,W03,2025-08-20,2025-08-28,2025-08-29,297,243.92,292,5.0,QUALITY DEFECT,Delayed
PO000123,S006,P001,W03,2025-08-29,"September 6, 2025",06/09/2025,359,243.92,351,8.0,Wrong specification,Delivered
PO000124,S006,P001,W03,05/09/2025,2025-09-13,13/09/2025,518,243.92,503,15.0,Quality defect,Delivered
PO000125,S006,P001,W03,"September 15, 2025",2025-09-23,23/09/2025,445,243.92,435,10.0,expired/near-expiry,Delivered
PO000126,S006,P001,W03,"September 23, 2025",01/10/2025,"October 6, 2025",478,243.92,468,,Damaged in transit,Delayed
PO000127,S006,P001,W03,2025-10-04,"October 12, 2025","October 12, 2025",464,243.92,456,,Quality defect,Delivered
PO000128,S006,P001,W03,2025-10-12,"October 20, 2025",20/10/2025,397,243.92,391,6.0,Damaged in transit,Delivered
PO000129,S006,P001,W03,"October 23, 2025",2025-10-31,"November 1, 2025",233,243.92,228,5.0,Damaged in transit,Delayed
PO000130,S006,P001,W03,2025-11-01,2025-11-09,2025-11-12,298,243.92,295,3.0,Quality defect,Delayed
PO000131,S006,P001,W03,08/11/2025,2025-11-16,16/11/2025,482,243.92,472,10.0,Damaged in transit,Delivered
PO000132,S006,P001,W03,21/11/2025,"November 29, 2025","December 1, 2025",533,243.92,493,40.0,Wrong specification,Partial
PO000133,S006,P001,W03,"November 28, 2025",2025-12-06,"December 6, 2025",241,243.92,239,2.0,QUALITY DEFECT,Delivered
PO000134,S006,P001,W03,"December 8, 2025",2025-12-16,2025-12-16,317,243.92,312,5.0,Wrong specification,Delivered
PO000135,S006,P001,W03,17/12/2025,"December 25, 2025","December 9, 2025",509,243.92,501,8.0, Damaged in transit ,Delayed
PO000136,S015,P002,W01,2025-01-07,2025-01-22,22/01/2025,144,163.88,141,3.0,Expired/near-expiry,Delivered
PO000137,S015,P002,W01,"January 15, 2025","January 30, 2025",2025-01-30,550,163.88,540,10.0,Wrong specification,Delivered
PO000138,S015,P002,W01,26/01/2025,2025-02-10,10/02/2025,421,163.88,416,5.0,Wrong specification,Delivered
PO000139,S015,P002,W01,2025-02-06,"February 21, 2025",2025-02-21,296,163.88,290,6.0,Quality defect,Delivered
PO000140,S015,P002,W01,"February 14, 2025",2025-03-01,"March 1, 2025",282,163.88,278,4.0,Quality defect,Delivered
PO000141,S015,P002,W01,2025-02-27,"March 14, 2025",2025-03-14,555,163.88,548,7.0,Wrong specification,Delivered
PO000142,S015,P002,W01,"March 7, 2025",2025-03-22,2025-03-22,119,163.88,113,,Expired/near-expiry,Partial
PO000143,S015,P002,W01,2025-03-14,29/03/2025,"March 29, 2025",238,163.88,234,4.0, Expired/near-expiry ,Delivered
PO000144,S015,P002,W01,"March 22, 2025","April 6, 2025","April 6, 2025",443,163.88,433,10.0,Wrong specification,Delivered
PO000145,S015,P002,W01,2025-04-01,"April 16, 2025",17/04/2025,481,163.88,474,7.0,Expired/near-expiry,Delayed
PO000146,S015,P002,W01,2025-04-09,"April 24, 2025",24/04/2025,351,163.88,343,8.0,Quality defect,Delivered
PO000147,S015,P002,W01,2025-04-16,2025-05-17,2025-05-18,421,163.88,413,8.0,Damaged in transit,Delayed
PO000148,S015,P002,W01,2025-04-28,"May 13, 2025","May 14, 2025",455,163.88,447,8.0,Expired/near-expiry,Delayed
PO000149,S015,P002,W01,"May 8, 2025",2025-05-23,"May 24, 2025",514,163.88,506,8.0, Wrong specification ,Delayed
PO000150,S015,P002,W01,"May 15, 2025","May 30, 2025","May 31, 2025",285,163.88,279,6.0,Wrong specification,Delayed
PO000151,S015,P002,W01,"May 25, 2025","June 9, 2025",09/06/2025,433,163.88,423,10.0,Expired/near-expiry,Delivered
PO000152,S015,P002,W01,04/06/2025,2025-06-19,20/06/2025,662,163.88,654,8.0,Quality defect,Delayed
PO000153,S015,P002,W01,14/06/2025,2025-06-29,2025-06-29,406,163.88,390,16.0,Quality defect,Delivered
PO000154,S015,P002,W01,"June 26, 2025","July 11, 2025",11/07/2025,530,163.88,521,9.0,quality defect,Delivered
PO000155,S015,P002,W01,"July 9, 2025","July 24, 2025","July 25, 2025",404,163.88,394,10.0,Quality defect,Delayed
PO000156,S015,P002,W01,"July 19, 2025",03/08/2025,2025-08-04,474,163.88,466,8.0,Damaged in transit,Delayed
PO000157,S015,P002,W01,2025-07-27,2025-08-11,11/08/2025,328,163.88,325,3.0,Damaged in transit,Delivered
PO000158,S015,P002,W01,05/08/2025,2025-08-20,2025-08-20,294,163.88,283,11.0,Quality defect,Delivered
PO000159,S015,P002,W01,2025-08-16,31/08/2025,31/08/2025,403,163.88,390,13.0,EXPIRED/NEAR-EXPIRY,Delivered
PO000160,S015,P002,W01,"August 28, 2025","September 12, 2025","September 12, 2025",511,163.88,501,10.0,Wrong specification,Delivered
PO000161,S015,P002,W01,2025-09-07,22/09/2025,2025-09-23,576,163.88,566,10.0,DAMAGED IN TRANSIT,Delayed
PO000162,S015,P002,W01,"September 17, 2025","October 2, 2025",2025-10-02,585,163.88,577,8.0,Quality defect,Delivered
PO000163,S015,P002,W01,2025-09-28,2025-10-13,2025-10-13,465,163.88,459,6.0,Damaged in transit,Delivered
PO000164,S015,P002,W01,2025-10-06,"October 21, 2025","October 21, 2025",299,163.88,293,6.0,Damaged in transit,Delivered
PO000165,S015,P002,W01,19/10/2025,"November 3, 2025","November 3, 2025",600,163.88,587,13.0,Quality defect,Delivered
PO000166,S015,P002,W01,01/11/2025,28/11/2025,28/11/2025,361,163.88,357,4.0,damaged in transit,Delivered
PO000167,S015,P002,W01,"November 9, 2025",2025-11-24,"November 27, 2025",133,163.88,131,,damaged in transit,Delayed
PO000168,S015,P002,W01,18/11/2025,2025-12-03,2025-12-03,423,163.88,412,11.0,Quality defect,Delivered
PO000169,S015,P002,W01,2025-11-28,2025-12-13,2025-12-13,449,163.88,447,2.0,Damaged in transit,Delivered
PO000170,S015,P002,W01,"December 9, 2025",2025-12-24,25/12/2025,558,163.88,552,6.0,Damaged in transit,Delayed
PO000171,S015,P002,W01,2025-12-19,"January 3, 2026",,313,163.88,0,0.0,Quality defect,Pending
PO000172,S015,P002,W01,2025-12-26,"January 10, 2026",,296,163.88,0,0.0,Damaged in transit,Pending
PO000173,S015,P002,W02,"January 7, 2025","January 22, 2025",2025-01-22,707,163.88,695,12.0,quality defect,Delivered
PO000174,S015,P002,W02,"January 16, 2025",2025-01-31,31/01/2025,366,163.88,360,6.0,QUALITY DEFECT,Delivered
PO000175,S015,P002,W02,"January 25, 2025",2025-02-09,2025-02-09,560,163.88,549,11.0,Wrong specification,Delivered
PO000176,S015,P002,W02,02/02/2025,2025-02-17,"February 18, 2025",-401,163.88,396,5.0,Damaged in transit,Delayed
PO000177,S015,P002,W02,2025-02-13,2025-02-28,28/02/2025,488,163.88,484,4.0,EXPIRED/NEAR-EXPIRY,Delivered
PO000178,S015,P002,W02,26/02/2025,13/03/2025,13/03/2025,554,163.88,543,11.0,Expired/near-expiry,Delivered
PO000179,S015,P002,W02,07/03/2025,22/03/2025,"March 22, 2025",326,163.88,319,7.0,Quality defect,Delivered
PO000180,S015,P002,W02,2025-03-14,2025-03-29,30/03/2025,388,163.88,380,8.0,damaged in transit,Delayed
PO000181,S015,P002,W02,27/03/2025,11/04/2025,2025-04-11,532,163.88,507,25.0,Quality defect,Delivered
PO000182,S015,P002,W02,"April 9, 2025","April 24, 2025","April 25, 2025",255,163.88,251,,Damaged in transit,Delayed
PO000183,S015,P002,W02,"April 19, 2025",04/05/2025,"May 4, 2025",404,163.88,381,23.0,Expired/near-expiry,Partial
PO000184,S015,P002,W02,"April 27, 2025",2025-05-12,2025-05-12,103,163.88,102,1.0,Damaged in transit,Delivered
PO000185,S015,P002,W02,2025-05-09,2025-05-24,2025-05-25,464,163.88,453,11.0,Wrong specification,Delayed
PO000186,S015,P002,W02,"May 21, 2025","June 5, 2025",06/06/2025,396,163.88,393,3.0,Quality defect,Delayed
PO000187,S015,P002,W02,30/05/2025,"June 14, 2025","June 15, 2025",549,163.88,535,14.0,Expired/near-expiry,Delayed
PO000188,S015,P002,W02,"June 7, 2025","June 22, 2025",2025-06-22,546,163.88,529,17.0,Quality defect,Delivered
PO000189,S015,P002,W02,2025-06-14,"June 29, 2025",29/06/2025,548,163.88,534,14.0, Damaged in transit ,Delivered
PO000190,S015,P002,W02,"June 26, 2025",11/07/2025,2025-07-11,372,163.88,365,7.0,Wrong specification,Delivered
PO000191,S015,P002,W02,2025-07-06,21/07/2025,2025-07-22,210,163.88,210,0.0,,Delayed
PO000192,S015,P002,W02,"July 13, 2025","July 28, 2025",28/07/2025,465,163.88,458,7.0,Wrong specification,Delivered
PO000193,S015,P002,W02,"July 26, 2025",10/08/2025,"August 10, 2025",618,163.88,602,16.0, Damaged in transit ,Delivered
PO000194,S015,P002,W02,05/08/2025,"August 20, 2025",20/08/2025,437,163.88,422,15.0,Quality defect,Delivered
PO000195,S015,P002,W02,16/08/2025,31/08/2025,01/09/2025,365,163.88,361,4.0,Quality defect,Delayed
PO000196,S015,P002,W02,27/08/2025,2025-09-11,"September 12, 2025",372,163.88,369,3.0, Damaged in transit ,Delayed
PO000197,S015,P002,W02,"September 3, 2025","September 18, 2025",21/09/2025,427,163.88,419,8.0,Quality defect,Delayed
PO000198,S015,P002,W02,2025-09-13,28/09/2025,"September 29, 2025",63,163.88,62,1.0, Quality defect ,Delayed
PO000199,S015,P002,W02,26/09/2025,11/10/2025,2025-10-11,342,163.88,336,6.0,quality defect,Delivered
PO000200,S015,P002,W02,"October 4, 2025","October 19, 2025","October 19, 2025",410,163.88,404,6.0,Expired/near-expiry,Delivered
PO000201,S015,P002,W02,2025-10-16,2025-10-31,2025-10-31,608,163.88,597,,Quality defect,Delivered
PO000202,S015,P002,W02,2025-10-27,"November 11, 2025",11/11/2025,266,163.88,257,9.0,Quality defect,Delivered
PO000203,S015,P002,W02,09/11/2025,24/11/2025,2025-11-25,427,163.88,418,9.0, Expired/near-expiry ,Delayed
PO000204,S015,P002,W02,"November 18, 2025","December 3, 2025",2025-12-03,596,163.88,588,8.0,Expired/near-expiry,Delivered
PO000205,S015,P002,W02,2025-11-28,13/12/2025,2025-12-14,145,163.88,140,5.0,Damaged in transit,Delayed
PO000206,S015,P002,W02,2025-12-05,"December 20, 2025","December 20, 2025",464,163.88,457,7.0,Wrong specification,Delivered
PO000207,S015,P002,W02,13/12/2025,"January 14, 2026",,275,163.88,0,,Expired/near-expiry,Pending
PO000208,S015,P002,W02,2025-12-21,21/01/2026,,665,163.88,0,0.0,Quality defect,Pending
PO000209,S015,P002,W03,2025-01-12,27/01/2025,2025-01-27,508,163.88,496,12.0,Quality defect,Delivered
PO000210,S015,P002,W03,25/01/2025,2025-02-09,09/02/2025,563,163.88,554,9.0,Damaged in transit,Delivered
PO000211,S015,P002,W03,"February 3, 2025",2025-02-18,2025-02-19,401,163.88,397,4.0,Damaged in transit,Delayed
PO000212,S015,P002,W03,16/02/2025,"March 3, 2025",03/03/2025,422,163.88,410,12.0,Wrong specification,Delivered
PO000213,S015,P002,W03,"March 1, 2025",16/03/2025,"March 17, 2025",413,163.88,405,8.0,Damaged in transit,Delayed
PO000214,S015,P002,W03,12/03/2025,27/03/2025,"March 28, 2025",293,163.88,289,4.0,Quality defect,Delayed
PO000215,S015,P002,W03,2025-03-20,"April 4, 2025","April 4, 2025",494,163.88,488,6.0,Quality defect,Delivered
PO000216,S015,P002,W03,2025-03-30,"April 14, 2025",15/04/2025,392,163.88,384,8.0,Expired/near-expiry,Delayed
PO000217,S015,P002,W03,2025-04-12,2025-04-27,27/04/2025,585,163.88,572,13.0,Quality defect,Delivered
PO000218,S015,P002,W03,"April 22, 2025",07/05/2025,2025-05-07,444,163.88,437,7.0,wrong specification,Delivered
PO000219,S015,P002,W03,30/04/2025,15/05/2025,2025-05-15,526,163.88,516,10.0,Damaged in transit,Delivered
PO000220,S015,P002,W03,08/05/2025,23/05/2025,"May 23, 2025",330,163.88,328,2.0,DAMAGED IN TRANSIT,Delivered
PO000221,S015,P002,W03,2025-05-18,02/06/2025,"June 2, 2025",362,163.88,355,7.0,Wrong specification,Delivered
PO000222,S015,P002,W03,2025-05-29,"June 13, 2025",2025-06-14,272,163.88,266,6.0,DAMAGED IN TRANSIT,Delayed
PO000223,S015,P002,W03,"June 6, 2025","June 21, 2025","June 22, 2025",292,163.88,287,5.0,Expired/near-expiry,Delayed
PO000224,S015,P002,W03,"June 18, 2025","July 3, 2025","July 4, 2025",507,163.88,498,9.0,Quality defect,Delayed
PO000225,S015,P002,W03,27/06/2025,"July 12, 2025",2025-07-17,618,163.88,609,9.0,Damaged in transit,Delayed
PO000226,S015,P002,W03,2025-07-05,2025-07-20,20/07/2025,214,163.88,206,8.0,Damaged in transit,Delivered
